Data Medicao,,"PRECIPITACAO TOTAL, DIARIO (AUT)(mm)",PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB),TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C),"TEMPERATURA MAXIMA, DIARIA (AUT)(°C)","TEMPERATURA MEDIA, DIARIA (AUT)(°C)","TEMPERATURA MINIMA, DIARIA (AUT)(°C)","UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%)","UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%)","VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s)","VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s)",Qtd Dengue,GOOGLE TRENDS
2007-01-07,1,"11,80571429","1009,308571","21,70857143","28,40571429","24,61714286","22,10857143","84,87428571","65,97142857","8,385714286","1,945714286","109,75",0
2007-01-14,1,"3,92","1003,934286","22,66285714","32,54571429","26,96","23,55428571","78,70571429","54,11428571","9,777142857","2,422857143","109,75",0
2007-01-21,1,"2,862857143","1006,888571","21,67714286","32,57714286","26,63142857","22,68","76,93142857","49,82857143","8,74","2,422857143","109,75",0
2007-01-28,1,"2,851428571","1007,445714","22,04571429","31,16285714","25,91142857","23,09714286","80,50857143","55,25714286","9,16","2,225714286","109,75",0
2007-02-04,2,"9,291428571","1006,42","22,52285714","32,03714286","26,18571429","23,18285714","81,57714286","56,28571429","9,617142857","2,16","214,25",0
2007-02-11,2,"4,988571429","1008,905714","21,55142857","32,21142857","26,53142857","22,20285714","76,15142857","47,6","9,585714286","2,242857143","214,25",0
2007-02-18,2,"8,88","1005,482857","21,09142857","28,58","24,27428571","21,54857143","83,51428571","62,94285714","7,648571429","1,825714286","214,25",0
2007-02-25,2,"2,36","1010,085714","21,25428571",31,"25,67428571","21,46285714","78,46","52,11428571","8,502857143","1,897142857","214,25",0
2007-03-04,3,"2,634285714","1010,751429","21,14857143","31,07714286","25,74285714","21,61714286","77,51428571","50,85714286","8,771428571","2,034285714","247,25",0
2007-03-11,3,"1,817142857","1010,402857","20,60285714","31,70571429","25,80571429","21,16857143","75,64285714","45,82857143","8,88","1,974285714","247,25",0
2007-03-18,3,"0,64","1008,18","21,02857143","32,71714286","26,56571429","21,84285714","73,98","46,94285714","8,865714286","2,091428571","247,25",0
2007-03-25,3,"0,1085714286","1007,717143","22,06857143","34,41142857","27,62571429","23,04","74,04","43,05714286","8,891428571","2,057142857","247,25",0
2007-04-01,4,"0,3028571429","1008,094286","21,31142857","33,13428571","26,72857143","22,01714286","74,70857143","44,11428571","8,205714286","1,825714286",302,0
2007-04-08,4,"0,5885714286","1008,277143","21,05428571","32,08","26,3","22,28857143","75,00571429","46,71428571","8,417142857","2,008571429",302,0
2007-04-15,4,"7,982857143","1010,44","20,76571429","30,73714286","24,95428571","21,17142857","79,48571429","51,88571429","8,894285714","1,848571429",302,0
2007-04-22,4,"8,405714286","1010,728571","21,52285714","29,44571429","24,52285714","21,66","84,40857143","59,54285714","7,46","1,7",302,0
2007-04-29,4,"3,554285714","1009,88","20,40571429","30,15142857","24,52285714","20,75428571","79,69428571","53,22857143","9,182857143","2,111428571",302,0
2007-05-06,5,"0,8171428571","1010,96","18,32","28,68","22,96571429","18,79428571","77,11142857","48,82857143","7,888571429","1,974285714","330,25",0
2007-05-13,5,"0,4285714286","1012,888571","17,44285714","28,43142857","22,61333333","18,25714286","74,87428571","47,68571429","9,345714286","2,294285714","330,25",0
2007-05-20,5,"0,03333333333","1011,182857","18,94","29,26285714","23,15428571","18,62285714","79,07428571","50,74285714","7,511428571","1,822857143","330,25",0
2007-05-27,5,"1,777142857","1010,062857","17,41428571","27,40571429","21,75714286","17,95714286","78,14285714","51,71428571","8,214285714","2,114285714","330,25",0
2007-06-03,6,"0,4514285714","1011,505714","16,92857143","27,05142857","21,65142857","17,74","75,97714286","52,91428571","8,945714286","2,234285714","151,25",0
2007-06-10,6,"0,8571428571","1013,011429","16,39428571","27,11714286","20,78","16,18857143","78,01428571","47,28571429","7,265714286","1,848571429","151,25",0
2007-06-17,6,"0,04","1012,385714","17,11714286","29,47142857","22,31142857","16,86","75,27142857","43,17142857","7,897142857","2,051428571","151,25",0
2007-06-24,6,"0,4171428571","1015,38","16,80857143","28,37714286","21,53428571","16,42","77,23428571",45,"7,594285714","1,822857143","151,25",0
2007-07-01,7,"1,36","1015,934286","17,59714286","27,47714286","21,55428571","17,26571429","80,17714286","51,54285714","7,365714286","1,811428571","97,8",0
2007-07-08,7,"0,09142857143","1016,142857","17,03142857","27,79142857","21,72","17,25428571","76,81714286","49,14285714","7,908571429","1,822857143","97,8",0
2007-07-15,7,"0,1142857143","1013,148571","16,60857143","29,06571429","22,26857143","16,99714286","73,44285714","41,6","8,2","2,028571429","97,8",0
2007-07-22,7,"0,03428571429","1010,845714","17,37142857","28,65428571","22,58857143","18,13714286","74,64571429","47,14285714","9,057142857","2,268571429","97,8",0
2007-07-29,7,"0,9028571429","1012,809524","16,79619048","26,47952381","21,99714286","18,55857143","75,22571429","53,48571429","10,49142857","2,887619048","97,8",0
2007-08-05,8,"0,4866666667","1016,725238","14,13380952","26,61666667","19,85571429","14,49809524","72,09142857","42,42857143","8,44","2,059047619","42,75",0
2007-08-12,8,"1,53015873","999,2809524","16,51190476","26,72916667","20,78968254","16,44126984","78,7875","49,20952381","8,513333333","1,861904762","42,75",0
2007-08-19,8,"2,79047619","999,7285714","15,9547619","25,00238095","19,7547619","15,98809524","81,03809524","52,78571429","8,066666667","1,89047619","42,75",0
2007-08-26,8,"0,02380952381","995,4","14,76190476","27,69285714","20,7952381","15,6452381","71,91904762","40,26190476","9,342857143","2,426190476","42,75",0
2007-09-02,9,"2,611111111","997,4214286","17,95952381","27,23333333","22,16388889","18,79047619","79,52142857","54,33333333","8,264285714","2,121428571","22,4","10,2"
2007-09-09,9,"5,60952381","1000,459524","17,01666667","25,86904762","20,78571429","17,23333333","81,12142857","55,54761905","9,761904762","1,988095238","22,4","10,2"
2007-09-16,9,"1,857142857","996,9785714","15,55952381","26,63571429","20,78333333","16,23809524","75,32380952","46,07142857","9,180952381","2,133333333","22,4","10,2"
2007-09-23,9,"0,6857142857","995,1595238","15,12380952","27,42857143","21,21666667","16,50952381","71,43809524","43,78571429","9,964285714","2,35","22,4","10,2"
